mrgid,pol_type,geoname,iso_sov,x_cen,y_cen,iso_ter,name_ter,name_sov,region
8389,Overlapping claim,Overlapping claim Falkland / Malvinas Islands: UK / Argentina,ARG,-58.32237,-51.66703,FLK,Falkland Islands,Argentina,Latin America & Caribbean
8462,200NM,French Guiana Exclusive Economic Zone,FRA,-51.75452,6.69127,GUF,French Guiana,France,Latin America & Caribbean
8419,200NM,Grenadian Exclusive Economic Zone,GRD,-62.05881,12.24388,GRD,Grenada,Grenada,Latin America & Caribbean
33177,200NM,Guadeloupean Exclusive Economic Zone,FRA,-59.85044,16.7988,GLP,Guadeloupe,France,Latin America & Caribbean
8430,200NM,Guatemalan Exclusive Economic Zone,GTM,-92.0908,12.55243,GTM,Guatemala,Guatemala,Latin America & Caribbean
8460,200NM,Guyanese Exclusive Economic Zone,GUY,-57.64094,8.61338,GUY,Guyana,Guyana,Latin America & Caribbean
48969,Joint regime,Joint regime area Guyana / Barbados,GUY,-57.13214,10.68079,GUY,Guyana,Guyana,Latin America & Caribbean
33185,Overlapping claim,Overlapping claim: Trinidad and Tobago / Venezuela / Guyana,GUY,-57.88712,10.56539,GUY,Guyana,Guyana,Latin America & Caribbean
48951,Overlapping claim,Overlapping claim Navassa Island: USA / Haiti / Jamaica,HTI,-75.18373,18.33814,HTI,Haiti,Haiti,Latin America & Caribbean
8408,200NM,Haitian Exclusive Economic Zone,HTI,-73.54856,17.91219,HTI,Haiti,Haiti,Latin America & Caribbean
48972,Joint regime,Joint regime area Honduras / Cayman Islands,HND,-83.94222,18.70111,HND,Honduras,Honduras,Latin America & Caribbean
8427,200NM,Honduran Exclusive Economic Zone,HND,-83.84845,16.91154,HND,Honduras,Honduras,Latin America & Caribbean
8459,200NM,Jamaican Exclusive Economic Zone,JAM,-77.29089,16.66861,JAM,Jamaica,Jamaica,Latin America & Caribbean
48951,Overlapping claim,Overlapping claim Navassa Island: USA / Haiti / Jamaica,JAM,-75.18373,18.33814,JAM,Jamaica,Jamaica,Latin America & Caribbean
21792,Joint regime,Joint regime area Colombia / Jamaica,JAM,-79.14572,15.47035,JAM,Jamaica,Jamaica,Latin America & Caribbean
33178,200NM,Martinican Exclusive Economic Zone,FRA,-60.20055,14.97512,MTQ,Martinique,France,Latin America & Caribbean
8429,200NM,Mexican Exclusive Economic Zone,MEX,-105.33346,21.35018,MEX,Mexico,Mexico,Latin America & Caribbean
